IP,Domain,Country,Region,City,ISP,ASN
120.22.53.46,, Australia,04,Brisbane,Vodafone Australia Pty Ltd,AS133612
122.150.9.189,189.9.150.122.sta.dodo.net.au, Australia,02,Seven Hills,Primus Telecommunications,AS9443
101.177.93.39,cpe-101-177-93-39.wb01.dyn.asp.telstra.net, Australia,08,Yangebup,Telstra Pty Ltd,AS1221
60.241.162.231,60-241-162-231.static.tpgi.com.au, Australia,02,Campsie,TPG Telecom Limited,AS7545
139.216.201.90,90.201.216.139.sta.dodo.net.au, Australia,08,Hamersley,M2 Telecommunications Group Ltd,AS38285
121.214.179.145,cpe-121-214-179-145.bpjl-r-033.lon.vic.bigpond.net.au, Australia,07,Sunbury,Telstra Pty Ltd,AS1221
58.173.58.213,CPE-58-173-58-213.nsw.bigpond.net.au, Australia,02,North Turramurra,Telstra Pty Ltd,AS1221
1.126.49.37,, Australia,08,,Telstra Pty Ltd,AS1221
1.128.97.54,, Australia,04,,Telstra Pty Ltd,AS1221
139.216.1.224,224.1.216.139.sta.dodo.net.au, Australia,02,Blacktown,Primus Telecommunications,AS9443
123.243.70.63,123-243-70-63.static.tpgi.com.au, Australia,02,Fairfield,TPG Telecom Limited,AS7545
27.0.86.239,239.86.0.27.sta.engin.com.au, Australia,,,Eftel Limited.,AS10113
14.202.117.119,14-202-117-119.static.tpgi.com.au, Australia,07,Melbourne,TPG Telecom Limited,AS7545
58.167.192.106,, Australia,05,Clare,Telstra Pty Ltd,AS1221
49.196.0.147,pa49-196-0-147.pa.vic.optusnet.com.au, Australia,08,Highgate,Microplex PTY LTD,AS4804
122.148.41.190,190.41.148.122.sta.dodo.net.au, Australia,02,Strathfield,M2 Telecommunications Group Ltd,AS38285
124.178.179.245,, Australia,08,Upper Swan,Telstra Pty Ltd,AS1221
49.199.166.181,pa49-199-166-181.pa.vic.optusnet.com.au, Australia,,,Microplex PTY LTD,AS4804
110.20.18.142,c110-20-18-142.rivrw8.nsw.optusnet.com.au, Australia,02,Concord,Microplex PTY LTD,AS4804
120.20.204.155,, Australia,05,Adelaide,Vodafone Australia Pty Ltd,AS133612
120.22.174.49,, Australia,04,Redbank,Vodafone Australia Pty Ltd,AS133612
124.181.247.30,cpe-124-181-247-30.bpw5-r-034.win.vic.bigpond.net.au, Australia,,,Telstra Pty Ltd,AS1221
111.220.161.181,181.161.220.111.dyn.iprimus.net.au, Australia,07,Pascoe Vale,Primus Telecommunications,AS9443
203.113.252.130,dsl-203-113-252-130-static.NSW.netspace.net.au, Australia,,,iiNet Limited,AS4802
123.211.61.116,cpe-123-211-61-116.bpbb-r-033.cha.qld.bigpond.net.au, Australia,04,Drewvale,Telstra Pty Ltd,AS1221
1.125.49.44,, Australia,05,,Telstra Pty Ltd,AS1221
1.127.48.93,, Australia,08,,Telstra Pty Ltd,AS1221
14.200.48.181,14-200-48-181.static.tpgi.com.au, Australia,02,Granville,TPG Telecom Limited,AS7545
210.49.203.49,c210-49-203-49.fernt3.vic.optusnet.com.au, Australia,07,Knoxfield,Microplex PTY LTD,AS4804
123.243.216.155,123-243-216-155.tpgi.com.au, Australia,02,Wollongong,TPG Telecom Limited,AS7545
101.171.213.56,, Australia,02,Canton Beach,Telstra Pty Ltd,AS1221
175.45.145.50,, Australia,02,,Harbour IT Pty Ltd,AS55923
58.106.235.40,d58-106-235-40.riv800.nsw.optusnet.com.au, Australia,,,Microplex PTY LTD,AS4804
122.107.50.120,c122-107-50-120.blktn5.nsw.optusnet.com.au, Australia,02,Fairfield,Microplex PTY LTD,AS4804
101.190.85.146,cpe-101-190-85-146.nb03.nsw.asp.telstra.net, Australia,02,Sans Souci,Telstra Pty Ltd,AS1221
121.210.132.205,cpe-121-210-132-205.lfui-cr-005.win.vic.bigpond.net.au, Australia,02,Toongabbie,Telstra Pty Ltd,AS1221
101.169.85.74,, Australia,,,Telstra Pty Ltd,AS1221
49.199.33.209,pa49-199-33-209.pa.vic.optusnet.com.au, Australia,07,South Yarra,Microplex PTY LTD,AS4804
203.91.248.78,203.91.248.78.dynamic.rev.eftel.com, Australia,07,Brunswick,Eftel Limited.,AS10113
121.214.103.211,cpe-121-214-103-211.bpjl-r-034.lon.vic.bigpond.net.au, Australia,07,Prahran,Telstra Pty Ltd,AS1221
49.182.42.146,pa49-182-42-146.pa.nsw.optusnet.com.au, Australia,,,Microplex PTY LTD,AS4804
123.3.120.176,176.120.3.123.sta.dodo.net.au, Australia,07,Wheelers Hill,M2 Telecommunications Group Ltd,AS38285
123.243.208.5,123-243-208-5.static.tpgi.com.au, Australia,01,Canberra,TPG Telecom Limited,AS7545
124.170.41.191,124-170-41-191.dyn.iinet.net.au, Australia,07,Melbourne,Internode Pty Ltd,AS4739
168.235.200.96,, United States,CA,Pasadena,QUANTIL NETWORKS INC,AS54994
1.144.97.51,, Australia,02,Chullora,Telstra Pty Ltd,AS1221
101.160.159.111,CPE-101-160-159-111.lnse6.win.bigpond.net.au, Australia,07,Saint Kilda,Telstra Pty Ltd,AS1221
58.106.250.181,d58-106-250-181.riv800.nsw.optusnet.com.au, Australia,,,Microplex PTY LTD,AS4804
66.249.82.169,google-proxy-66-249-82-169.google.com, Asia/Pacific Region,,,Google LLC,AS15169
121.45.224.227,ppp121-45-224-227.bras21.per1.internode.on.net, Australia,08,Quinns Rocks,Internode Pty Ltd,AS4739
110.21.178.16,c110-21-178-16.livrp3.nsw.optusnet.com.au, Australia,02,Cabramatta,Microplex PTY LTD,AS4804
114.78.47.130,d114-78-47-130.rdl805.qld.optusnet.com.au, Australia,,,Microplex PTY LTD,AS4804
60.230.227.53,cpe-60-230-227-53.bpwt-r-031.wel.wa.bigpond.net.au, Australia,08,Quinns Rocks,Telstra Pty Ltd,AS1221
120.19.98.116,, Australia,02,Sydney,Vodafone Australia Pty Ltd,AS133612
139.218.191.88,88.191.218.139.sta.dodo.net.au, Australia,04,Brisbane,M2 Telecommunications Group Ltd,AS38285
121.223.189.24,cpe-121-223-189-24.cjbp-r-010.civ.act.bigpond.net.au, Australia,01,Macquarie,Telstra Pty Ltd,AS1221
1.128.96.23,, Australia,04,,Telstra Pty Ltd,AS1221
155.143.135.241,static.belong.com.au, Australia,02,Rhodes,TELCOINABOX PTY LTD,AS45510
120.144.55.213,cpe-120-144-55-213.bpw5-r-035.win.vic.bigpond.net.au, Australia,07,Newport,Telstra Pty Ltd,AS1221
58.104.8.162,d58-104-8-162.sbr802.nsw.optusnet.com.au, Australia,,,Microplex PTY LTD,AS4804
49.197.0.81,pa49-197-0-81.pa.qld.optusnet.com.au, Australia,04,Yatala,Microplex PTY LTD,AS4804
120.145.40.127,cpe-120-145-40-127.bpwt-r-032.wel.wa.bigpond.net.au, Australia,08,Cannington,Telstra Pty Ltd,AS1221
49.196.130.94,pa49-196-130-94.pa.vic.optusnet.com.au, Australia,08,Perth,Microplex PTY LTD,AS4804
58.179.33.79,79.33.179.58.sta.dodo.net.au, Australia,02,Currans Hill,Primus Telecommunications,AS9443
120.145.129.4,cpe-120-145-129-4.bpe6-r-032.pie.wa.bigpond.net.au, Australia,08,Canning Vale,Telstra Pty Ltd,AS1221
1.144.96.79,, Australia,02,Chullora,Telstra Pty Ltd,AS1221
1.136.96.171,, Australia,07,Malvern,Telstra Pty Ltd,AS1221
1.132.97.44,, Australia,04,Kuraby,Telstra Pty Ltd,AS1221
117.120.16.133,proxy40.messagelabs.net, Australia,07,,Now Part of Symantec,AS7583
203.219.210.132,203-219-210-132.static.tpgi.com.au, Australia,07,Endeavour Hills,TPG Telecom Limited,AS7545
49.195.12.213,pa49-195-12-213.pa.nsw.optusnet.com.au, Australia,02,Wollstonecraft,Microplex PTY LTD,AS4804
